 id  , user_id , group_id 
11,3,1
12,3,2
13,3,3
14,3,4
15,3,5
16,3,6
17,3,7
18,3,8
19,3,9
20,4,8
27,5,9
28,5,2
29,5,3
30,5,7
31,7,9
32,7,2
33,9,9
34,9,2
35,6,9
36,6,2
37,10,9
38,10,2
39,8,9
40,8,2
41,4,9
42,4,2
49,13,9
50,13,2
51,16,9
52,16,2
54,15,9
55,15,2
57,12,9
58,12,2
60,11,9
61,11,2
62,14,9
63,14,2
64,18,9
65,18,2
66,19,9
67,19,2
69,17,9
70,17,2
72,20,9
73,20,2
75,21,9
76,21,2
77,22,9
78,22,2
80,23,9
81,23,2
83,24,9
84,24,2
86,25,9
87,25,2
89,26,9
90,26,2
93,27,9
94,27,2
95,28,9
96,28,2
101,32,9
102,32,2
103,29,9
104,29,2
105,30,9
106,30,2
107,31,9
108,31,2
110,33,9
111,33,2
113,34,9
114,34,2
115,35,9
116,35,2
117,36,9
118,36,2
119,45,8
120,45,2
121,51,9
122,51,2
123,53,9
124,53,2
125,54,9
126,54,2
127,55,1
128,55,2
129,55,3
130,55,8
131,55,9
132,56,8
