ResourceID,Geometric Place Expression,External Dataset,External Entity,External Dataset Resource Name,Place Name,Name Type,External Resource Site Class,External Resource Site Type,External Resource Count,Cultural Period Type,Cultural Sub-period Type,Remark,Remark Type,External Entity
049e6a47-31dc-4260-a56f-300eee7c583a,POINT (91.85218333 47.00901667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0001,"""Улаан говийн үзүүр 1""",Toponym,Burial Site,Monkhkhairkhan Grave,1,Bronze Age,Middle Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
482ff371-56f8-4ae5-ab9d-8b3067d77fd6,POINT (91.98656667 46.87368333),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0002,"""Улаан говийн үзүүр 2""",Toponym,Burial Site,Monkhkhairkhan Grave,1,Bronze Age,Middle Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
84f69df3-dc1c-4290-9ba3-898585724014,POINT (91.85763333 47.00333333),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0003,"""Хатуу даваа""",Toponym,Burial Site,Monkhkhairkhan Grave,1,Bronze Age,Middle Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
81fe6ad8-58e9-4087-95cf-325af398520f,POINT (91.85941667 47.00401667),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0004,"""Артуа""",Toponym,Burial Site,Monkhkhairkhan Grave,1,Bronze Age,Middle Bronze Age,,,99d2f041-7dfc-436b-9922-0a8643e97897
4954ead8-acad-4fdb-b21f-2cb219a8f87b,POINT (91.84451667 47.03028333),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0005,"""Хар говийн хиригсүүр буган чулуу хөшөө""",Toponym,Stone Stele/Memorial Stone Monument,Deer Stone,1,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
e60b4c41-edd3-4911-9fb4-6b4e7b8c4f85,POINT (91.84541667 47.02905),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0006,"""Тэлэнгидийн амны буган чулуун хөшөө""",Toponym,Stone Stele/Memorial Stone Monument,Deer Stone,1,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
b12e14da-3b60-4609-b98d-2eaaacef0e67,POINT (92.02141667 46.83293333),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0008,"""Их тошинтын амны буган чулуун хөшөө""",Toponym,Stone Stele/Memorial Stone Monument,Deer Stone,1,Bronze Age,,,,99d2f041-7dfc-436b-9922-0a8643e97897
f3b50206-503a-43bb-ae5c-2a553715315e,POINT (91.52071667 46.12378333),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0009,"""Долоон нуурын хүн чулууд""",Toponym,Stone Stele/Memorial Stone Monument,Stone Man,1,Turkic Period,,,,99d2f041-7dfc-436b-9922-0a8643e97897
0191dccd-4c89-4945-8394-901c3f3b50c4,POINT (92.60861667 47.60833333),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0010,"""Шуурхайн Хөх нуурын хүн чулуу""",Toponym,Stone Stele/Memorial Stone Monument,Stone Man,1,Turkic Period,,,,99d2f041-7dfc-436b-9922-0a8643e97897
644ae06d-59f9-4ae8-a166-e67b10096a39,POINT (91.85258333 47.0355),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0011,"""Доод Улаанговийн амны хүн чулууд""",Toponym,Stone Stele/Memorial Stone Monument,Stone Man,1,Turkic Period,,,,99d2f041-7dfc-436b-9922-0a8643e97897
2b7c778d-a05b-4bc4-9026-1ec482b7b1b4,POINT (91.89111944 46.91972222),Khovd University Survey,"[{'resourceId': '99d2f041-7dfc-436b-9922-0a8643e97897', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]",KU-0039,"""Бортын ихэрийн өвөлжөө""",Toponym,Rock Art/Stone Inscription Site,Petroglyph,60,Undetermined,,,,99d2f041-7dfc-436b-9922-0a8643e97897
