ResourceID,Geometric Place Expression,Remote Sensing Assessor,Grid Square,Remote Sensing Object Name,Name Type,Remote Sensing Place Type,Assessment Date,Heritage Place Function Certainty,Heritage Place Function Sub-type,Remote Sensing Interpretation Type,Remote Sensing Interpretation Sub-type,Site Feature Interpretation Certainty,Site Feature Form Type,Site Feature Shape Type,Diameter,Length,Width,Central Mound Diameter,Archaeological Assessment Activity Type,Assessment Source,Overall Condition Assessment,Disturbance Cause Category,Disturbance Cause Type,Disturbance Cause Certainty,Damage Effect,Damage Effect Certainty,Threat Driver Type,Threat Type,Threat Probability,Remark,Remark Type,Cultural Period Type,30m SRTN Elevation,Aimag,Soum,Bag,Heritage Place Function Type
M13-001,POINT (91.24168749 48.88364238),Dovydas Jurkenas,M13,M13-001,MAPSS RS Number,Site Feature,2022-05-02,High,Burial Complex/Graveyard/Cemetery,Modern Cemetery,Kazakh Cemetery,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Fair,,,,,,,,,"""modern kazakh cemetary""",General Description,Modern,1320,Khovd,,,Funerary
M13-002,POINT (91.23913295 48.88511386),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-002,MAPSS RS Number,Site Feature,2022-05-02,High,Burial,,,Medium,Mound,Circular,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Vegetation/Crops/Trees,Definite,"""possibly the central mound of the Khirigsuur""",General Description,,1322,Khovd,,,Funerary
M13-003,POINT (91.24079314 48.88485534),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-003,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Environmental (Natural),Vegetation/Crops/Trees,Definite,"""not quite sure, possibly the remains of the KH""",General Description,,1321,Khovd,,,Funerary
M13-004,POINT (91.24057256 48.88494209),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-004,MAPSS RS Number,Site Feature,2022-05-02,Medium,Burial,,,Medium,Mound,Circular,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,Looting/Illegal Activities,Looting/Unauthorised Removal of Objects,Low,Loss/Removal of Archaeological Material,Low,Environmental (Natural),Vegetation/Crops/Trees,Definite,"""not sure, possibly natural structure or a remainder of the KH and looted""",General Description,,1320,Khovd,,,Funerary
M13-005,POINT (91.23726783 48.90015302),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-005,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1317,Khovd,,,Architectural/Settlement
M13-006,POINT (91.24089239 48.91204433),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-006,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1317,Khovd,,,Architectural/Settlement
M13-007,POINT (91.23669473 48.91534416),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-007,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1320,Khovd,,,Architectural/Settlement
M13-008,POINT (91.23582794 48.89301607),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-008,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,Khirigsuur,Circle Khirigsuur,High,,Circular,15,,,9,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,,,,,,Bronze Age,1319,Khovd,,,Funerary
M13-009,POINT (91.23068396 48.89442496),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-009,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,15,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,Looting/Illegal Activities,Looting/Unauthorised Removal of Objects,Definite,Loss/Removal of Archaeological Material,Definite,Infrastructure/Transport,Road/Track,High,"""probably a Pazyryk burial, in NCCH recorded as a Turkic burial""",General Description,,1317,Khovd,,,Funerary
M13-010,POINT (91.23321935 48.89189887),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-010,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,14,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Infrastructure/Transport,Road/Track,High,"""probably a Pazyryk burial, in NCCH recorded as a Turkic burial""",General Description,,1320,Khovd,,,Funerary
M13-011,POINT (91.23005438 48.89448897),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-011,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,,,High,Mound,Circular,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Unknown,,,,,,Infrastructure/Transport,Road/Track,Medium,"""in NCCH recorded as a Turkic burial""",General Description,,1317,Khovd,,,Funerary
M13-012,POINT (91.22914158 48.95078675),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-012,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,Khirigsuur,Circle Khirigsuur,High,,Circular,19,,,6,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,,,,,,Bronze Age,1328,Khovd,,,Funerary
M13-013,POINT (91.23421208 48.95156352),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-013,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,Khirigsuur,Circle Khirigsuur,High,,Circular,16,,,5,Archaeological Assessment (Image Interpretation),Maxar,Fair,,,,,,,,,,,Bronze Age,1334,Khovd,,,Funerary
