ResourceID,Geometric Place Expression,Archaeological Assessor,GridID,Place Name,Name Type,Archaeological Assessment Date,Heritage Place Function Type,Heritage Place Function Certainty,Heritage Place Function Sub-type,Heritage Place Function Sub-type Certainty,Site Feature Interpretation Type,Site Feature Interpretation Sub-type,Site Feature Interpretation Certainty,Site Feature Interpretation Type,Site Feature Form Type,Site Feature Shape Type,Diameter,Length,Width,Central Mound Diameter,Archaeological Assessment Activity Type,Archaeological Assessment Acitivty Sub-type,Archaeological Assessment Acitivty Sub-type - ORIGINAL,Overall Condition Assessment,Disturbance Cause Category,Disturbance Cause Type,Disturbance Cause Certainty,Damage Effect,Damage Effect Certainty,Threat Driver Type,Threat Type,Threat Driver Certainty,Remarks,Remark Type,Cultural Period Type,Cultural Period Sub-type,30m STRN Elevation,Aimag,Soum,Bag,NCCH_Reg
K4-001,POINT (88.58178931 49.40829822),,K4,K4-001,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2465,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-002,POINT (88.58709351 49.40891544),,K4,K4-002,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Winter Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2428,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-003,POINT (88.59243247 49.40695725),,K4,K4-003,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Winter Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2422,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-004,POINT (88.62320247 49.40618713),,K4,K4-004,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Winter Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2430,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-005,POINT (88.69720429 49.40660671),,K4,K4-005,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Winter Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2450,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-006,POINT (88.811019 49.40831897),,K4,K4-006,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2552,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-007,POINT (88.75874191 49.41314446),,K4,K4-007,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A2',General Description,,,2543,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-008,POINT (88.61060251 49.4115919),,K4,K4-008,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2447,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-009,POINT (88.76355851 49.41977554),,K4,K4-009,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2598,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-010,POINT (88.69788809 49.42080298),,K4,K4-010,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2490,Bayan-Ulgii,Bajannuur,Bor burgas,
